PhotoID,Latitude,Longitude,Title,PhotoURL,PhotoFileURL,UploadDate,PhotoWidth,PhotoHeight,OwnerName,OwnerURL,OwnerID,Place_ID
9363990,-46.647138,-72.607527,Marble Cave,http://www.panoramio.com/photo/9363990,http://mw2.google.com/mw-panoramio/photos/medium/9363990.jpg,14 April 2008,500,375,Dejah,http://www.panoramio.com/user/947917,947917,
522084,47.867077,17.470493,In Memoriam Antoine de Saint-Exupéry,http://www.panoramio.com/photo/522084,http://mw2.google.com/mw-panoramio/photos/medium/522084.jpg,21 January 2007,500,350,Busa Péter,http://www.panoramio.com/user/109117,109117,
6126294,51.44588987567,-0.27519464492798,Richmond Deer,http://www.panoramio.com/photo/6126294,http://mw2.google.com/mw-panoramio/photos/medium/6126294.jpg,25 November 2007,489,500,Mark Simms,http://www.panoramio.com/user/1130880,1130880,
1282387,14.500819,-61.01705,Thunderstorm in Martinique,http://www.panoramio.com/photo/1282387,http://mw2.google.com/mw-panoramio/photos/medium/1282387.jpg,12 March 2007,500,400,Jean-Michel Raggioli,http://www.panoramio.com/user/49870,49870,
52034419,55.135249,-6.382198,The Dark Hedges,http://www.panoramio.com/photo/52034419,http://mw2.google.com/mw-panoramio/photos/medium/52034419.jpg,02 May 2011,500,500,Klarens,http://www.panoramio.com/user/5851975,5851975,
1289207,31.187546,-4.019966,Silouette,http://www.panoramio.com/photo/1289207,http://mw2.google.com/mw-panoramio/photos/medium/1289207.jpg,12 March 2007,500,337,@mabut,http://www.panoramio.com/user/232099,232099,
97671,46.638704,30.78603,kin-dza-dza,http://www.panoramio.com/photo/97671,http://mw2.google.com/mw-panoramio/photos/medium/97671.jpg,09 December 2006,500,375,Cyrill,http://www.panoramio.com/user/13058,13058,
10574161,-35.30916,148.661664,SILHOUETTE,http://www.panoramio.com/photo/10574161,http://mw2.google.com/mw-panoramio/photos/medium/10574161.jpg,25 May 2008,500,346,VFedele,http://www.panoramio.com/user/766550,766550,
57823,47.404769,12.902648,Maria Alm,http://www.panoramio.com/photo/57823,http://mw2.google.com/mw-panoramio/photos/medium/57823.jpg,05 October 2006,500,333,Norbert MAIER,http://www.panoramio.com/user/8060,8060,
46817885,-14.310613,-178.137093,"Dusk in Tufulega, Futuna Island",http://www.panoramio.com/photo/46817885,http://mw2.google.com/mw-panoramio/photos/medium/46817885.jpg,20 January 2011,500,330,Dominik M. Ramík,http://www.panoramio.com/user/919358,919358,
27932,-32.202924,-64.404945,Atardecer en Embalse,http://www.panoramio.com/photo/27932,http://mw2.google.com/mw-panoramio/photos/medium/27932.jpg,25 June 2006,500,375,Miguel Coranti,http://www.panoramio.com/user/4483,4483,
204924,43.24514,-1.806951,zaldiak,http://www.panoramio.com/photo/204924,http://mw2.google.com/mw-panoramio/photos/medium/204924.jpg,21 December 2006,500,346,mikel ortega,http://www.panoramio.com/user/2575,2575,
41234541,37.132249,27.37653499999999,Göltürkbükü; Bodrum * Olympist,http://www.panoramio.com/photo/41234541,http://mw2.google.com/mw-panoramio/photos/medium/41234541.jpg,24 September 2010,500,373,OLYMPIST ©,http://www.panoramio.com/user/3908287,3908287,
72223854,44.797856,20.46728,Храм Светог Саве ❖ Saint Sava Temple,http://www.panoramio.com/photo/72223854,http://mw2.google.com/mw-panoramio/photos/medium/72223854.jpg,17 May 2012,500,282,Бобан Армуш,http://www.panoramio.com/user/6489313,6489313,584dd3a83811cf06f2df37c83555ae6cd2fb5823
48619132,46.038832,12.346476,"Laghi Revine dal monte Pizzoc ",http://www.panoramio.com/photo/48619132,http://mw2.google.com/mw-panoramio/photos/medium/48619132.jpg,24 February 2011,500,500,Fabio Roman,http://www.panoramio.com/user/646873,646873,
9733633,-33.851702,151.216968,Sydney Opera House,http://www.panoramio.com/photo/9733633,http://mw2.google.com/mw-panoramio/photos/medium/9733633.jpg,28 April 2008,500,333,funtor,http://www.panoramio.com/user/1465912,1465912,e1f49965b944842c80c615640397220545ac95f2
46752123,23.327834,120.52718600000003," Beautiful Taiwan----Rising ",http://www.panoramio.com/photo/46752123,http://mw2.google.com/mw-panoramio/photos/medium/46752123.jpg,18 January 2011,500,370,Michael  安路,http://www.panoramio.com/user/2780232,2780232,
